issue_key,issue_type,priority,has_priority,component_present,summary_length,summary_word_count,description_length,description_word_count,created_year,created_month,created_dayofweek,created_hour,resolution_time_days,delay_threshold_days,is_delayed
SRCTREEWIN-13431,Bug,High,1,1,54,10,300,21,2021,1,2,12,140.9125,305.2055555555556,0
SRCTREEWIN-13427,Bug,Low,1,1,60,8,479,69,2021,1,3,14,0.8,305.2055555555556,0
SRCTREEWIN-13426,Bug,High,1,1,73,11,129,22,2013,12,0,7,2594.1021,305.2055555555556,1
SRCTREEWIN-13421,Bug,Low,1,1,62,10,192,34,2021,1,5,15,5.7812,305.2055555555556,0
SRCTREEWIN-13418,Bug,Low,1,1,78,13,313,53,2021,1,3,16,38.5632,305.2055555555556,0
SRCTREEWIN-13417,Bug,Low,1,1,73,11,130,22,2021,1,3,7,38.9417,305.2055555555556,0
SRCTREEWIN-13416,Bug,Low,1,1,29,5,435,62,2021,1,3,0,8.4021,305.2055555555556,0
SRCTREEWIN-13411,Bug,Low,1,1,70,10,422,74,2021,1,4,12,13.9118,305.2055555555556,0
SRCTREEWIN-13410,Bug,Low,1,1,58,9,807,74,2021,1,3,17,0.0007,305.2055555555556,0
SRCTREEWIN-13409,Bug,Low,1,1,50,8,477,71,2021,1,2,10,16.0083,305.2055555555556,0
SRCTREEWIN-13397,Bug,Low,1,1,24,3,623,92,2020,12,0,17,14.841,305.2055555555556,0
SRCTREEWIN-13396,Bug,Low,1,1,89,16,294,52,2020,12,6,23,325.6521,305.2055555555556,1
SRCTREEWIN-13395,Bug,Low,1,1,52,7,128,20,2020,12,6,13,15.9889,305.2055555555556,0
SRCTREEWIN-13393,Bug,Low,1,1,37,6,185,24,2020,12,3,16,18.8514,305.2055555555556,0
SRCTREEWIN-13391,Bug,Low,1,1,48,7,204,27,2020,12,3,7,19.2361,305.2055555555556,0
SRCTREEWIN-13389,Bug,Low,1,1,26,3,70,13,2020,12,1,17,26.5125,305.2055555555556,0
